region,fov_id,x_t,y_t,z_t_log,z_a,dz_um,locked,disp,xcorr,residual_um,focus_error_um,false_rejection
D1,11,18.796448754095096,71.33605763719416,2.7324374999999996,2732.4374999999995,0.0,False,-6.8,0.88,0.7873728252274608,-6.8,True
D1,12,10.991952114095094,73.93755651719415,2.7324374999999996,2732.34375,-0.09374999999954525,False,-4.1,0.823,-0.19684320630692112,-4.1,True
D1,13,13.593450994095091,73.93755651719415,2.7324374999999996,2731.40625,-1.0312499999995453,True,-1.8,0.95,0.0,0.0,False
D1,14,16.194949874095094,73.93755651719415,2.7324374999999996,2730.9375,-1.4999999999995453,True,-1.3,0.961,0.0,0.0,False
D1,15,18.796448754095096,73.93755651719415,2.7324374999999996,2734.40625,1.9687500000004547,True,-4.8,0.962,0.0,0.0,False
D6,0,107.4919521140951,66.13305987719416,2.7920625,2796.5625,4.5,True,-5.9,0.956,-0.19684320630692112,-0.19684320630692112,False
D6,1,110.0934509940951,66.13305987719416,2.7920625,2796.2812500000005,4.218750000000455,True,-5.7,0.964,0.19684320630692112,0.19684320630692112,False
D6,2,112.6949498740951,66.13305987719416,2.7920625,2795.90625,3.84375,True,-5.2,0.955,0.39368641261384224,0.39368641261384224,False
D6,3,107.4919521140951,68.73455875719415,2.7920625,2791.9687499999995,-0.09375000000045475,False,-3.5,0.896,0.0,-3.5,True
D6,4,110.0934509940951,68.73455875719415,2.7920625,2794.40625,2.34375,True,-3.7,0.901,-0.19684320630692112,-0.19684320630692112,False
D6,5,112.6949498740951,68.73455875719415,2.7920625,2793.3749999999995,1.3124999999995453,True,-2.7,0.946,0.0,0.0,False
D6,6,107.4919521140951,71.33605763719416,2.7920625,2792.0625,0.0,False,-2.0,0.895,0.19684320630692112,-2.0,True
D6,7,110.0934509940951,71.33605763719416,2.7920625,2792.1562499999995,0.09374999999954525,True,-1.5,0.946,0.39368641261384224,0.39368641261384224,False
D6,8,112.6949498740951,71.33605763719416,2.7920625,2792.53125,0.46875,True,-1.8,0.977,0.19684320630692112,0.19684320630692112,False
D6,9,107.4919521140951,73.93755651719415,2.7920625,2789.9062499999995,-2.1562500000004547,True,0.7,0.967,0.0,0.0,False
D6,10,110.0934509940951,73.93755651719415,2.7920625,2789.9062499999995,-2.1562500000004547,True,0.8,0.917,0.39368641261384224,0.39368641261384224,False
D6,11,112.6949498740951,73.93755651719415,2.7920625,2790.28125,-1.78125,True,0.4,0.944,0.0,0.0,False
