region,fov_id,x_t,y_t,z_t_log,z_a,dz_um,locked,disp,xcorr,residual_um,focus_error_um,false_rejection
D1,14,16.194949874095094,73.93755651719415,2.7327187499999996,2732.15625,-0.5624999999995453,True,2.4,0.989,0.3779322421557541,0.3779322421557541,False
D1,15,18.796448754095096,73.93755651719415,2.7327187499999996,2735.9062499999995,3.1875,True,-1.4,0.994,0.0,0.0,False
D6,0,107.4919521140951,66.13305987719416,2.79234375,2794.4999999999995,2.1562499999995453,True,-1.3,0.974,-0.18896612107766222,-0.18896612107766222,False
D6,1,110.0934509940951,66.13305987719416,2.79234375,2795.15625,2.8125,True,-1.9,0.95,0.0,0.0,False
D6,2,112.6949498740951,66.13305987719416,2.79234375,2795.15625,2.8125,True,-1.9,0.971,0.18896612107787705,0.18896612107787705,False
D6,3,107.4919521140951,68.73455875719415,2.79234375,2793.5624999999995,1.2187499999995453,True,-0.4,0.985,0.0,0.0,False
D6,4,110.0934509940951,68.73455875719415,2.79234375,2791.875,-0.46875,True,1.3,0.978,0.3779322421557541,0.3779322421557541,False
D6,5,112.6949498740951,68.73455875719415,2.79234375,2793.1874999999995,0.8437499999995453,True,-0.0,0.977,0.0,0.0,False
D6,6,107.4919521140951,71.33605763719416,2.79234375,2791.6875,-0.65625,True,1.5,0.953,0.0,0.0,False
D6,7,110.0934509940951,71.33605763719416,2.79234375,2790.3749999999995,-1.9687500000004547,True,2.7,0.992,-0.18896612107766222,-0.18896612107766222,False
D6,8,112.6949498740951,71.33605763719416,2.79234375,2790.8437499999995,-1.5000000000004547,True,2.3,0.992,-0.18896612107766222,-0.18896612107766222,False
D6,9,107.4919521140951,73.93755651719415,2.79234375,2789.0625,-3.28125,True,4.1,0.972,0.0,0.0,False
D6,10,110.0934509940951,73.93755651719415,2.79234375,2788.6875,-3.65625,True,4.5,0.992,0.3779322421557541,0.3779322421557541,False
D6,11,112.6949498740951,73.93755651719415,2.79234375,2789.4374999999995,-2.9062500000004547,True,3.7,0.971,0.18896612107787705,0.18896612107787705,False
